image,ocr,country,location,recordedBy,recordNumber,catalogNumber,scientificName,day,year,month,dateIdentified,minimumElevationInMeters,identifiedBy,verbatimIdentification,decimalLatitude,decimalLongitude,verbatimElevation,maximumElevationInMeters,kingdom,elevation,countryCode,error.code,error.type,error.param,error.message,decimallatitude,institutionCode
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/sym5.jpg,HERB. R. HORTI PATAVINI / HERBARIUM R. HORTI PATAVINI / p. / Symphytum officinale h. a typerum Froni / Lage della Burida-seaspata anticarro- / ft. di ründ. / your arrintte. / 28.1X-47 / Томмина / euanin / 3 / 7090,,,,,7090,Symphytum officinale,28,47,10,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/sym.bulbosum.jpg,5008: GA / 118 AV-1002 / Montian / Symphytum hulle / Malghera / 3 14 15 13 14 12 11 10 50 34 35 / sateei. 8 10.44 15 13 14 12 10 8 10 5 31 58 / asum / Schimperſ / HERB. R. HORTI PATAVINI / Boragince / Symphytum / bulbosum fy / Schiempre. / luoghi ambe-jelvatici / Sammano. / HERB. SPRANZI / 7090,GA,Montian,Schimperſ,118,5008,Symphytum hulle,,,,,,,,,,,,Boragince,asum,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/senecio2.jpg,"being / p / Colin / HERB. R. HORTI PATAVINI / HERBARIUM R. HORTI PATAVINI / Senecio coronspiflius Desf. / is / var. shebrentatus (Ledeb.) Boits. / f. cidmicus Tamp, / Tripolitania / Oasi di Gadames / 18 Aprile 1931 / P.P. / Jeg. Dr. A. Marcello / 941.",,"Oasi di Gadames, Tripolitania",Dr. A. Marcello,,941,Senecio coronspiflius Desf.,18,1931,4,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/senecio%20doria5.jpg,HERB. R. HORTI PATAVINI / вилый / Jonna h / v suboceurrens nich- / ſ. ty piens Aust. pl. / 18:47 Ferian / Perr. & Sadern / مسلہ / HERBARIUM R. HORTI PATAVINI / Senecio Doria L. / Faludi torbone / 8 T 1910 / HV / مغرب / +86- / a / S. Martires des Japan / A. Béguinist,,S. Martires des Japan,,8,HERB. R. HORTI PATAVINI,Senecio Doria L.,,1910,,,,,Faludi torbone,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/senecio%20doria10.jpg,"HERB. R. HORTI PATAVINI / Seueris Varis L. / Golare miti / so. danubialis michi / Kansain / } / FLORA EXSICCATA AUSTRO-HUNGARICA. / 237. Senecio Doria. / Linné Syst. nat. ed. X. p. 1215. (1759); Jacq. Fl. Austr. II. p. 51., t. 185. / Austria inferior. In pratis prope Aspern ad Danubium. / Erb. R.Salla / Pola / Woloszczak. / 9411",Austria,Aspern,R. Salla|Woloszczak,,237,Senecio Doria,,1759,,,,,,,,so. danubialis,,Plantae,,AT,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/salvia1.jpg,"S. Vorbereir / Celinge / Jabo beton cacfon / Palvia / отрії Упр. / 27/672 / HERB. PATAV. (PAD) / AVENUE / HD04883 / HERB. PATAV. (PAD) / C. / HD05034 / FLORA DALMATICA / Salvia Berterici Sch / In passics locifque herbidig / sina Schevine, Desig / VISIANI",,FLORA DALMATICA,S. Vorbereir,,HD04883|HD05034,Salvia Berterici Sch,,,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/salvia.jpg,HERB. PATAV. (PAD) / H0056343 / Salvia Litte / H. P. Jun. / Littue. Vis / 12. / { / 7290,,,Littue. Vis,,H0056343,Salvia Litte,12,,6,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/ranunculus.jpg,4. / komana. Dinten in delle shive / Витура в Уличи / vil humpe t / м мий / & mönnte di antichi / cout presso l'amor / portion - Monumentus. Kivunia / - Bonumenna vomita / 14- Mung 1413 / 1113. Conmiſchtenn. / ERBARIO DI LUIGI FILIPPO TIBERTELLI / DE PISIS FERRARA / Выпискившем / Famiglia delle / Specieвипитомвич / Ficuria / Varietá- / Località Montagions / Data della raccolta. / Osservazioni_ / 16 Marys 1913 / Coon Feter. Ven 389 / 2546,,Montagions,Luigi Filippo Tibertelli de Pisis,1113,389,Ficuria,16,1913,3,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/racemosus1.jpg,{ / HERB. PATAV. (PAD) / dibu / L / HD05069 / Squang cally c. marginal vom ciliates / ut will theft. / назк / Diantley recemony / in coller S. Georzie / Sept.,,,,,HD05069,,,,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/primula%20venzoides.jpg,"**** the / Primula tirolensis Scholz ( / HERB. A. F / HV / Forojulius-M. Cavallo in presures rupine 10). / cale. In 1800 – 2000. Leg, Porta / Бола довідо / just. 1904. / A. 1931 / H. B. PATAVINO / 1 / VIND / FURTI / typoleusi; / P. conistica? Whafference? / af / Action Luysio raccolte in pochu / Luppic / eſc umpluri fiorité nelle Votte di / Feltre / Verzo / ERBARIO P. A. Saccardo / P. Leur aides / ex Walfunda / tyrohenfif / Luglio. In podi denpelare / nel molle Valbenou, / ai / ravolta quest'anno in diver- / si du C. dr. Anber nella / ERBARIO P.Accidentagna / S. tyrolensis ;chotte / a / byrolen / ) P.A. Saccardo Allion Loisi- / all; / Timula Stroffene / 10 / Sve vata i 20 Luglis 1875 / nelle l'atté du Feltre presodiè / tutre sfiorita, cornò dubbia / a me / P. Tyrolensi, schott. / fellion dois. / d. Welteniana / Leglio, idel mon'x Vulbenor / delle / Carquea / ERGARIO P. A. Saccardo / HERB. R. HORTI PATAVINI / Verry: / 6315",Forojulius-M. Cavallo,Feltre|Verzo|Bola|Vind|Walfunda,"Leg, Porta",,,Primula tirolensis Scholz,20,1931,7,1904,1800,H. B. PATAVINO|P.A. Saccardo,"P. conistica? Whafference?|Primula tirolensis Scholz|P. Leur aides|P. tyrolensis ;chotte|P.A. Saccardo Allion Loisi-|Timula Stroffene|P. Tyrolensi, schott.|d. Welteniana",,,,2000,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/polytrichum4b.jpg,"azal. / ERBARIO F. PFAFF / BOZANG / Polybrichen / Poly trichum commune / B. Kitten: im Sumpfs beim Stickerses u. beim Signater / Schwarque, 1250 u. 1275 m, 18. Okl. 1925 u. 18632 (502. / Polytrichum commune / PII 31-104. / L. f. procumbens Pfalf. B. Ueberetich, Eslöcha, 520 m, 15. Aug. 1992.",,bozang|B. Kitten: im Sumpfs beim Stickerses u. beim Signater|Schwarque,L. f. procumbens Pfalf,18632,PII 31-104,Poly trichum commune|Polytrichum commune,18,1925,10,,520,F. Pfaff,Polybrichen|Poly trichum commune|Polytrichum commune,,,"1250 u. 1275 m|Eslöcha, 520 m",1275,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/pikea%20californica2.jpg,"1 / Herb. Piccone-Forti / A. 1937 / PHYCOTHECA BOREALI-AMERICANA. / HERB. A. FORTI / D. PATAVINUS / Tikea californica Han / Californ. / FRB. A. / COLLINS, HOLDEN, AND SETCHELL. / 897. Pikea Californica Harv. / Harvey, Nereis Bor.-Am., part 2, p. 246, 1853; part 3, p. 131, Pl. / XLIX B, 1858. / Farlow, Proc. Amer. Acad., Vol. X, p. 376, 1875; Report of U. S. / Fish Commission for 1875, p. 698, 1876. / MRS. E. SNYDER. / HERB. / Anderson, Zoe, Vol. II, p. 222, 1891. / Howe, Erythea, Vol. I, p. 68, 1893. / McClatchie, Proc. Southern Calif. Acad., Vol. I, p. 356, 1897. / Farl. And. and Eaton, Alg. Am.-Bor. Exsicc., No. 27, 1877. / Pacific Beach, California. / 1 / A. / HERB... / H. B. / H. B. PATAVINUS / H. B. PATAVINUS / A. 1937 / FORTI / * / A. 1937 / FRATION / FORT / RTI / PATAVINUS / A. 1937 / * / Herb. Piccone-Forti / Herb. Achille Forti / Pikea californica Hard / Que bonus be / Hauck et Richter. Phykotheka universalis. / 502. Pikea californica Harvey. / Nereis Boreali-Americana p. 246. / California, Avila Beach. / HERB. / 8 / of / coliforn. / RB. A. / coll. Miss Mabel Miles. / Mitgetheilt durch Frank S. Collins. / FORTI / HERB. F. S. COLLINS. / Pikea Californica. Haur / California. / H. B. PATAVINUS / 1937- / HERB. A. / * / * / FORT / 1937 / H. B. PATAVINUS / 3220",Californ,"Pacific Beach, California",MRS. E. SNYDER|Miss Mabel Miles,897|502,1|3220,Pikea californica,,1937,,,,A. FORTI|D. PATAVINUS|H. B. PATAVINUS,Tikea californica Han|Pikea californica Hard,,,,,PHYCOTHECA BOREALI-AMERICANA|Phykotheka universalis,,FRB. A.,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/phragmites.jpg,HERB. R. HORTI PATAVINI / Phragmites / commun?... / ERBARIO DI LUIGI FILIPPO TIBERTELLI / DE PISIS (FERRARA) / Famiglia delle / Specie. / Varietá. / Localitá. / Data della raccolta. / Osservazioni_ / Ay / nata / Joltivate nelle / upp / mich / es / 333.,,,,,,Phragmites commun,,,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/nitophyllum.jpg,"81.5 / Con Sori / 12.5 dupl. Nitophyllum (Cryptomenza) / Nitiph. (byphonenyantionatum / Playa Esté Cabo Forningo, Tierra del Fuego, 25-2-1966. Legit A. Benove. / n:39. / I / Laciniatum et, / y。 / 0⁰0 / N / fietst. / TIX / ·laciniatin / Nitoph. (Cimptonewia) / * / FORTI / HERB. A. FO / Nelle attenuazion"" infecion / A / HERB. H / - Come il 42- / (Terra del / 21-1-1916 / Esté de Pors. Gente Grande / FORTI / H. B. PATAVINUS / A. 1937 / H. B. PATAVINUS / A. 1937 / & L / SYO / Jusco) / S / Vibiunto",,"Playa Esté Cabo Forningo, Tierra del Fuego",A. Benove,,39,Nitophyllum (Cryptomenza),25,1966,2,,,,,-54.810129,-68.324890,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/nigella.jpg,"باعث / Willa Bonto amari -. 21. ""Jught / Bartol / отарі / квапиталяние / wella damasiona / sans. L. Bongour. Wella ge / Boli / DE FISIS FERNATA) / Воспитатвием / Famiglia delle / F / Nagella damasens S. / Specie. / Varietá. / Località Sousta di. Vonjang / Pron. th / ہے / Data della raccolta 2 / Osservazioni_ / Tuglie / 911919 / ن / 2530",,,,2530,,,,1919,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/myrothecium2.jpg,"Crypto games da Lyonnais -J.J.Therry N (200) / Mynetharinen trockiboides / Мурмоста / (a typpergener mayone / Prith, 250-260, I pressen. / Thoma / Lan / mayine now v. vik / 6603 / Myprotholian huchiloises / Jan. Mich. 11. p. 367 / Thragmites / pellidiorecen a beture / offit / Sp. 7-9 x 15-2 / basit. 18–24 x 1,5-27 iul / Lyon / Communis quines des teps mortes / 1880-hivern. / Prentenpr 188 / Themy.",,,,6603,,Mynetharinen trockiboides,,1880,,hivern,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/monotropa%20hg12.jpg,"HERB. PATAV. (PAD) / warmannaey / H0039662 / FLORA DEL CADORE / 100 / Monotropa Hypopithys L. / var. glabra Roth / Valle del Boite: Sopra S. Vito. alt. 1200-1400 m. / 16 Agosto 1922. / R. Pampanini / Erb.CadoreR,Pampanini / 6169",,Valle del Boite: Sopra S. Vito,R. Pampanini,,H0039662,Monotropa Hypopithys L.,16,1922,8,,1200,,,,,,1400,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/mandragora.jpg,L / Pentandvia Monogynia / Spr / Mandragora autumnalis / Bertol Syst- Vol-1-paz / ووه / ogg. Non. / Gron・ 75'R. / 7413,,,,,7413,Mandragora autumnalis,,,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/linospora%20magnagutiana.jpg,"Big459 61911AT01 / блиотроси Мамадивческа / Carmo ? / t. Fagome / 100-120x3 = -4 / 190 / context pachy's / fachejt / день нуй / an / Is 0100 / Linospora Pacca diania / 100-128 x ½-3½ cut. vese guilt. hyaſ. / O / 1 / Jeſterum inveni istung & hanzellen / py / funzillerm / ad folia exiccata aducé suffedule / Phiphiophord / KIUM / Exposi !!! / بي / 778 / 8 In Vite inveni / Hysterographium / J. 8 wirdum (pubblican / HERBARIUM MYCOL / H.B. PATAVINUS / PA, SACCARDO / bong / Hysteri delu tipicam / Longiun / неуверим двотборну / #get. viticolen, veramente. / drum in Megcoth. / 8 Ven- et frislidien",,context pachy's|In Vite inveni|Longiun,Carmo,,61911AT01,Linospora Pacca diania,,190,,,100,"Jeſterum inveni istung & hanzellen|Hysterographium|H.B. PATAVINUS|PA, SACCARDO|Hysteri delu tipicam","KIUM|Exposi !!!|HERBARIUM MYCOL|неуверим двотборну|#get. viticolen, veramente.",,,,128,,,بي,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/limonium%20vaccari.jpg,"HERB. R. HORTI_PATAVINI / m. / 2494 / revis. S. PIGNAT / L. sibthopianum / vaccarii mob. / TYPUS / ܐ܂ / ما / 1 / was maciasi stava / 22 12 02 51 91 24 91 91 21 91 21 11 8 682 / - / 32312 0 / FLORA LYBICA EXSICCATA / - / B / curantibus / A. 1931 / Aug. Béguinot et Ant. Vaccar / SI SI FUEL ZEIL OLSZOSP / HERB. A / H. B. RATAVINUS / 147. Statice delicatula De Girard in Ann. Sc. Nat. ser. 3ª, / II, p. 327 (1844); Dur. et Barr. Fl. Lib. prodr. p. 195; / Bég. et Vacc. Contr. Fl. Lib. p. 56; Sec. contr. Fl. Lib., / Roma p. 28 e Modena p. 25; Terzo contr. Fl. Lib. in / Ann. di Bot. XII, p. 113; Pamp. Pl. Tripol. p. 188. / Tobruk costa sud in arenosis maritimis. / Loc. Marmarica. / 23 Maj. 1912. / - / A. Vaccari. / - / Oss. / La pianta qui distribuita è una forma remotispicula (forse / il tipo?). ma a Misrata il Vaccari raccolse (15-X-1912) una forma a / foglie più larghe ed a spighette più grandi e dense e che ricorda la / S. tunetana, dalla quale tuttavia si distingue per i caratteri delle brattee / posti in evidenza nel n. 148 di questa Essiccata. / A. Béguinot. / FORTI",Loc. Marmarica,Tobruk costa sud in arenosis maritimis,A. Vaccari,,2494,Statice delicatula,23,1912,5,,,A. Béguinot,147. Statice delicatula De Girard in Ann. Sc. Nat. ser. 3ª,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/juniperus9a.jpg,"HERB. PATAV. (PAD) / H0058614 / 1 / HERBARIUM R. HORTI PATAVINI / Juniperus macrocarpa Set 8. / Boko di Lesiva, prov. di Fazzia / 1877–1898. / Daifieri. / 45--",,"Boko di Lesiva, prov. di Fazzia",Daifieri,,H0058614,Juniperus macrocarpa,,1877,,,45,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/juniperus18.jpg,"HERB. PATAV. (PAD) / H0058594 / Juniperus oxycedrus L. / v. macrocarpa S.et S. / Coniferae / M.Circeo, dune marine / 21/IV/1965 / HERB. HORTI PATAVINI / ISTITUTO BOTANICO PADOVA (Italia) / Tip. Bertaglia / L",Italia,"M.Circeo, dune marine",HERB. HORTI PATAVINI|ISTITUTO BOTANICO PADOVA,,H0058594,Juniperus oxycedrus L.,21,1965,4,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/isoetes%20malinverniana2.jpg,"Erb. PICCONE / Societé auphinoise. GENOVA / No 1045. Isoetes Malinverniana Ces. et / De Not. in Ind. sem. Hrt. bot. gen. 1858, et in Erb. / critt. ital. nº 103; -Mlde, filic. eur. et atl. 287. / Quinto, près Vercelli Italie, Piémont): canaux / d'irrigation des rizières. / Septembre 1875. / A.-F. Negri. / 1045. Isoetes Malinverniana Cesati et de Notaris. Cormo trisulco :: / foliorum coma supra bulhum majusculum constricta; foliis hasi elongata / cochleariformi, longe alato-marginatis, prismatico-subulatis, fasciculis / fibrosis stomatibusque (parce) præditis; glandulæ processu cordato / oblongo, ligula lineari subulata apice bidentata; sporotheciis peltafor- / mibus, nudis; macrosporis majusculis granuloso-papillosis, vertice tri- / gonis, tricostatisque, faciebus intercostalibus angustis, læviusculis, angu- / lis tuberculo mammaformi terminatis: microsporis triquetris lævibus. / (Extrait du Commentario della Societa crittogamologica italiana, Genova, / 1861, page 102: Rivista delle Isoetee della Flora italiana.) / 0 / 2 / 3 / 4 / S / Erb. PICCONE / GENOVA / 105. ISOËTES MALINVERNIANA / Cesat. et DNtrs in Ind. Semin. H. Botan. Genuens. 1858. / Negli acquedotti a Greggio ed Oldenico nell'agro Vercellese. / Estate ed Autunno 1858. MALINVERNI.",Italie,"Quinto, près Vercelli|Vercelli, Piémont|Greggio|Oldenico",A.-F. Negri|MALINVERNI,,1045|105,Isoetes Malinverniana Ces. et De Not.,,1875|1858,9,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/heliotropiumundul2.jpg,"HERB. PATAV. (PAD) / H0057928 / Heliotropium undulatum. Vahl. / Pyramides. / HERB. PATAV. (PAD) / H0057929 / K / Heliotropium / crippundulater / Corolla monopetala, uneolata, / l'imbo quinquefide. Se deperté / vellich Shait Brochie / legit Sieber. / K / Heliotropien / undulater Vall, / HERB. MENEGH. / ; Acesti in / следурат / Visiani / legit / det.. / HERB. PATAV. (PAD) / H0057930 / 7052",,,Sieber,,H0057928|H0057929|H0057930,Heliotropium undulatum,,,,,,Visiani,Heliotropium undulater|Heliotropien undulater Vall,,,,,K,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/ehrharta5.jpg,Ehrharta panicea / مر / Ehrharra paniceas / Portie / 2 / 201,,,,,,Ehrharta panicea,,201,,,,,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/echinops.jpg,Echings Neumayer / by / Neuevayet / FLORA DALMATICA / In Mr. Orien / HERB. PATAV. (PAD) / Echinops Neumayeri / 12/ / Neumayer. / HD02730 / VISIANI,,Mr. Orien,Neuevayet,,HD02730,Echinops Neumayeri,,,,,,VISIANI,,,,,,,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/drypis4.jpg,"Herbier Arm. Thielens, Tirlemont (Belgique). / D / Dryppues / H0056825 / récolté par / HERB. PATAV. (PAD) / Gunida / an / mosa Sin / Croatie / eller 18/5 / & Rossi / Typis spinn- / ériano Murb. el Watt. / V. / Jarquin / a. Bejen ditt / V. / Ex herbario ANTONII ORSINI / Lion. Fr. / Degpu's Spinosa / lapidasit anseral. Minif / Flora Praetutiana / Lynn M.IN. / ar / HERB. PATAV. (PAD) / H0056826 / 249 5",Croatie,"Herbier Arm. Thielens, Tirlemont (Belgique)",HERB. PATAV. (PAD)|Antonii Orsini,,H0056825,Dryppues,,,,18/5,,Rossi|V. Jarquin|V. Bejen|Lion. Fr.,Typis spinn-ériano Murb. el Watt.,,,,,Gunida,,,,,,,,
https://storage.gbif-no.sigma2.no/italy/padua-2023-03-24/cistus.jpg,"HERB. A / FORT FLORA ITALICA EXSICCATA / H. B. PATAVINUS / curantibus / A. 19Adr. Fiori, A. Béguinot, R. Pampanini / 63. Cistus albidus L. Sp. pl., ed. I, p. 524 (1753). / - / Loc. Venetia. - Prov. di Verona: circa Torri loco le Prandine / dicto (loc. class.) in collibus apricis benacensibus, alt. 130-160 / m., solo calcareo. - 21 Maj. 1904. / G. Rigo. / Oss. Specie dell' Europa occid.-merid. e dell'Algeria, scoperta / dal Fontana nelle colline presso Torri (cfr. Poll. Fl. Ver., II, p. 179) / e precisamente nel luogo detto le Prandine: troverebbesi anche ad / Albisano (località sovrastante alla precedente) e nei Lessini presso / Roverè di Velo (sec. Goiran, Piant. fan. agr. ver., II, p. 91); ma / questa ultima stazione pare incriminabile (sec. Rigo, in litt.). In / ogni modo le stazioni veronesi sono nell'attualità completamente / isolate e forse la pianta vi rappresenta un superstite della vegeta- / zione macrotermica preglaciale. / HV / HERB. PATAV. (PAD) / H0060314 / A. Béguinot. / T / 52.",Italy,Venetia,G. Rigo,52,H0060314,Cistus albidus L.,21,1904,5,,130,,,,,130-160 m,160,,,,,,,,,
