modified,catalognumber,recordedBy,recordNumber,day,month,year,family,genus,specificEpithet,scientificNameAuthorship,identifiedBy,country,stateProvince,county,municipality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,habitat,associatedMedia,dateIdentified,basisOfRecord,occurrenceID,institutionCode,verbatimIdentification,scientificName,verbatimElevation,dynamicProperties,locality,catalogNumber,decimalLatitude
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,1300,1300,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0010.jpg,,,,,,Scutellaria orientalis,,,южн. скл. Тиссарского кр заповедник Рамит Лев. берег р. Сардан-и Миёна,,
2023-07-24T08:22:15,,Опред. Смольская,"TMHO 3. 615, T. 20000",,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0011.jpg,,,,,,Drepanocazyum sewlezoncil,1723619 / 672.,,Южн. скл. Гиссардкого хр.,215,
2023-07-24T08:22:15,,станкевич,,,,,,,,,Збидновени,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0012.jpg,,,,,,Sideritis montana,,,"Геоктепинский р-н, пос. Гермай, по склонам гор",TNU Herbarium,
2023-07-24T08:22:15,,Крюкову,,,6,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0013.jpg,,,,,,Marrubium vulgare L.,,,,217,
2023-07-24T08:22:15,,Горшково,218,3,7,1966,,,,,Горшково,Tajikistan,,,,,3370,3370,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0014.jpg,1966. 7. FIII,,,,,Nepeta podostochys Benth,3370 м,,"Гuссорский, Анзобского, кр. окрест, перевода, южн. склон. Вічки, юго-восточнее, точки, перевопа","TMHO 3, 615, T. 20000",
2023-07-24T08:22:15,,Акбар,,,,,,,,,С. Laure,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0015.jpg,,,,,,Nepete recanica kyl.,,,,33004,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0016.jpg,,,,,,Nepeta pomnizensis,,,,,
2023-07-24T08:22:15,,Ленчевский|Масленникова,1058,19,2,1935,,,,,,Tajikistan,,,,,,2800,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0017.jpg,,,,,,Nepeta floccosa Benth.,,,"Шуроабадский ран Хр. Люличен, верен bepumina ropor transzpak. на копомаратоволинистых обображениях с южн. стороны вершины",221,
2023-07-24T08:22:15,,,,10,11,1971,,,,,,Tajikistan,,,,,2800,2800,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0018.jpg,,,,,,Nepeta,,,Можуховская таг.,,
2023-07-24T08:22:15,,Dabugrенко,,,,1958,,,,,,Tajikistan,,,,,2350,2350,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0019.jpg,,,,,,Nepeta Olgae Age.,,,"Юмный склон і яссарского XI. ассем p. Xurod | Западный Помирј Шахдаринсий хр | сев. склон, себ-вост экспозиция",223,
2023-07-24T08:22:15,,Лочинова,19,,7,1968,,,,,Акулимия,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0020.jpg,,,,,,Nepeta formasa Kude.,Высота 1900 м,,Южн. скл. Тиссарского кр. уч. р. Такой Мельничный лай,"TMHO 3. 615, T. 20000",
2023-07-24T08:22:15,,Азимов,T. 20000,,7,1914,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0021.jpg,,,,,,CKLI. makob froem.,,,Южн. скл. Тиссарского хо|Пойма реки,19 14 582,
2023-07-24T08:22:15,,Bronnikov,24004,,,1973,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0022.jpg,,,,,,Nepeta sotureoides,,,,,
2023-07-24T08:22:15,,G. J. Koslova,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0023.jpg,,,,,,epeter elegans Zibs,,,,,
2023-07-24T08:22:15,,Бронников,,,7,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0024.jpg,,,,,,Nepeta Bracteata Benth.,2800 ме,,,T. 20000,
2023-07-24T08:22:15,,Цей,40,19,7,1916,,,,,,Tajikistan,,,,,1750,1750,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0025.jpg,,,,,,Nepeta Semerzowii,,,Южн. скл. Гиссарского хоущ р. Такой Мельничный сай,229,
2023-07-24T08:22:15,,Абду годури,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0026.jpg,,,,,,Nepeta bucharica,,,,100,
2023-07-24T08:22:15,,,,24,,1973,,,,,,Tajikistan,,,,,2800,3000,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0027.jpg,,,,,,Dracocepholum oblongifolium Regel,,,,N₂/533,
2023-07-24T08:22:15,,TNU Herbarium,2.339,15,5,1975,,,,,,Tajikistan,,,,,3000,3000,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0028.jpg,,,,,,Dracocephalum scrobiculatum,,,,232,
2023-07-24T08:22:15,,,,,,1971,,,,,R. Kamelin,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0029.jpg,,,,,,Kudejaschevia nadinae (Lipsky) Pojazk,,,,,
2023-07-24T08:22:15,,TNU Herbarium,,,,2012,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0030.jpg,,,,,,Prunella Vulgarig,,,,100,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0031.jpg,,,,,,Ereneostaches Lehmanniana Bunge,,,Сам Холма,,16 07.892
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0032.jpg,,,,,,Cremestachys Saraizeka,,,,,
2023-07-24T08:22:15,,любовь | Regel,,,,,,,,,,Tajikistan,,,,,2100,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0033.jpg,,,,,,Flomus вис harica | phlomis | Pax maryniaete,,,"басе. р.и Варзоби, ущь, Такоби | пл. Саред дара"", в Ариршках.",237,
2023-07-24T08:22:15,,Н. Давлатов,,,,1984,,,,,L. Caugob,Tajikistan,,,,,2800,3057,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0034.jpg,,,,,,Phlomis cashmeriana Royle ex Benth.,,,,ALA238,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,2500,2500,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0035.jpg,,,,,,Plomis canescens Regel,,,,,
2023-07-24T08:22:15,,,,,,1962,,,,,,Tajikistan,,,,,860,860,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0036.jpg,,,,,,Lamium amplexicaule,,,Южен скл. Тиссарского кр Левый берег реки Кафернингана. близ одджоникидзеабада,,
2023-07-24T08:22:15,,Блохния,19 26 682.,,,,,,,,Опред. моменя,Tajikistan,,,,,1700,1700,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0037.jpg,,,,,,Lamium album L.,1700м,,Южн. ска. Гиссарского кр. лев. скл. над лагерем you p. Tards,,
2023-07-24T08:22:15,,,,,,,,,,,,,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0038.jpg,,,,,,,,,,,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0039.jpg,,,,,,Lamium maculatum L,,,,,
2023-07-24T08:22:15,,Lochinova,,,,,,,,,Anrlishkia,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0040.jpg,,,,,,deonuzus tuzeestanicus,1900,,you p. Tilacos,244,
2023-07-24T08:22:15,,рн,,,,,,,,,TMHO,Tajikistan,,,,,19,19,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0041.jpg,,,,,,deonurus riflosus Desd,,,Московская обл,"3. 615, T. 20000",
2023-07-24T08:22:15,,Козлова,,,,,,,,,,Tajikistan,,,,,120,120,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0042.jpg,,,,,,Hagochilus serorschanicus,,,Вост. часть годного Зеравшана | Басс. р. фан Дарья | оклон кр. кумарг,246,
2023-07-24T08:22:15,,короткова,,,VI,,,,,,,Tajikistan,,,,,93,9482,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0043.jpg,,,,,,dogochilus Bungei Benth.,,,здравшан,,
2023-07-24T08:22:15,,Блимбетов,,28,1,1960,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0044.jpg,,,,,,Lagochilus pulcher Knorr.,,,Урочище Сарытугай предгорная сильновсхолмленная размытая равнин на Западный склон,248,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0045.jpg,,,,,,Stachys hissection Regel,,,,,
2023-07-24T08:22:15,,,,,,,,,,,,,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0046.jpg,,,,,,,,,,,
2023-07-24T08:22:15,,Ducypaeb,240,,11,1973,,,,,Саидов,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0047.jpg,,,,,,Perovscia scrophulariifolia,,,,,
2023-07-24T08:22:15,,,991,2,6,1972,,,,,,Tajikistan,,,,,2300,2800,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0048.jpg,,,,,,Perovscia angustifolia Kendz.,2300-2800,,makhshewam,252,
2023-07-24T08:22:15,,Абдугафурие,,,,,,,,,Сарторов R,Tajikistan,,,,,800,800,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0049.jpg,,,,,,Ziziphora interrupta,,,"Басар Токоб уж, середорек",6/2022,
2023-07-24T08:22:15,,Carmucob R.Б.,6274,,,1985,,,,,L. Laugeh,Tajikistan,,,,,1900,1900,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0050.jpg,,,,,,iziphovo pamizoalајса Juk,,,,6274,
2023-07-24T08:22:15,,"Coop., Ouper. Caugob",1888,,6,1974,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0051.jpg,,,,,,Ziziphora tenuior Z.,,,,5001600,
2023-07-24T08:22:15,,Caugob C.,,,,1975,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0052.jpg,,,,,,Ziziphora Bungeana Juz.,,,,,
2023-07-24T08:22:15,,Maxuagaмin,,,7,1958,,,,,,Tajikistan,,,,,1700,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0053.jpg,,,,,,Hyssopus bestatte,,,хребта усуллые реки Такой,257,
2023-07-24T08:22:15,,Loginova,73-4519,,11,1968,,,,,,Tajikistan,,,,,1230,1230,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0054.jpg,,,,,,Origanum tyttanthum,1230 m,,"South slope of Gissar mountain, near Varmonik river",,
2023-07-24T08:22:15,,Klok,,27,6,1988,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0055.jpg,,,,,,Thymus seravshanigur,Bucoma 2600,,,,
2023-07-24T08:22:15,,каледнина,,,,,,,,,,Tajikistan,,,,,3600,3600,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0056.jpg,,,,,,Thymus serpyllum L.,,,"Гиссарский хр, окр. пер. Анзов, южн. склон, окр. метеостанций",№/27 19 16 542,
2023-07-24T08:22:15,,sokol,,,6,1919,,,,,,Tajikistan,,,,,1700,1700,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0057.jpg,,,,,,Thymus buchoricus Klok.,1700 м,,"yus, p.Такоб",2319 10 26 582,
2023-07-24T08:22:15,,Собр. Диколаев,522,,7,,,,,,,Tajikistan,,,,,,,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0058.jpg,,,,,,Thymus borysthenicus,,,,7214,
2023-07-24T08:22:15,,,,,,,,,,,,Tajikistan,,,,,1000,1000,,https://storage.gbif-no.sigma2.no/test/TNU/Labiatae/IMG_0059.jpg,,,,,,,,,,,
